feature,importance
soil_moisture_change_30min,0.29904817
air_temperature_c,0.08220343
soil_moisture_pct,0.07269327
soil_temperature_c,0.04977966
gdd,0.04856143
air_humidity_pct,0.04836897
hour,0.04802994
soil_conductivity_us_cm,0.04507391
pressure_hpa,0.03766239
ontario_units,0.03107767
air_co2_ppm,0.02890851
day_of_week,0.02679881
daily_max_reduction,0.02642451
daily_mean_temperature,0.02562013
standard_day_degree,0.02471576
daily_max_above_tbase,0.02338439
daily_max_temperature,0.02303111
line,0.02093530
air_temperature_change_30min,0.01826963
month,0.00973663
is_weekend,0.00967638
